volcano_name,country,type,latitude_(dd),longitude_(dd),elevation_(m),continent
Ulawun,Papua New Guinea,Stratovolcano,-5.05,151.33,2334,Oceania
Umboi,Papua New Guinea,Complex,-5.59,147.88,1548,Oceania
Undara,Australia,Shield,-18.25,144.75,1020,Oceania
Ungaran and Telomoyo,Indonesia,Stratovolcano,-7.18,110.33,2050,Asia
Unzen,Japan,Complex,32.76,130.29,1500,Asia
Urataman,Russia,Somma,47.12,152.25,678,Europe
Ushishur,Russia,Caldera,47.52,152.8,401,Europe
Usu,Japan,Stratovolcano,42.54,140.84,737,Asia
Uzon,Russia,Caldera,54.5,159.97,1617,Europe
Veniaminof,United States,Stratovolcano,56.17,-159.38,2507,North America
Vernadskii Ridge,Russia,Cinder Cone,50.55,155.97,1183,Europe
Vesuvius,Italy,Somma,40.82,14.43,1281,Europe
Villarrica,Chile,Stratovolcano,-39.42,-71.93,2847,South America
Vilyuchik,Russia,Stratovolcano,52.7,158.28,2173,Europe
Visoke,"Congo, Rwanda",Stratovolcano,-1.47,29.49,3711,Africa
Vsevidof and Recheschnoi Volcanoes,United States,Stratovolcano,53.13,-168.69,2149,North America
Vulcano,Italy,,38.4,14.96,500,Europe
Washington,United States,Shield,44.3,-121.8,2376,North America
Wau-en-Namus,Libya,Caldera,25.05,17.55,547,Africa
Westdahl,United States,Stratovolcano,54.52,-164.65,1654,North America
White Island,New Zealand,Stratovolcano,-37.52,177.18,321,Oceania
Wrangell,United States,Shield,62.0,-144.02,4317,North America
Wudalianchi,China,Volcanic field,48.72,126.12,597,Asia
Yake-dake,Japan,Stratovolcano,36.22,137.59,2455,Asia
Yali,Greece,Lava dome,36.67,27.14,180,Europe
Yantarni,United States,Stratovolcano,57.02,-157.19,1345,North America
Yasur,Vanuatu,Stratovolcano,-19.53,169.44,361,Oceania
Yellowstone,United States,Caldera,44.43,-110.67,2805,North America
Zavaritzki Caldera,Russia,Caldera,46.93,151.95,624,Europe
Zheltovsky,Russia,,51.57,157.32,1953,Europe
Zhupanovsky,Russia,,53.59,159.15,2958,Europe
Zimina,Russia,Stratovolcano,55.86,160.6,3081,Europe
